file_path,file_name,config_type,issue_id,issue,severity,evidence,risk,suggested_fix,detector,source
data\configs\docker\docker_baseline_01.yml,docker_baseline_01.yml,docker,DOCKER_PRIVILEGED_CONTAINER,Privileged container,high,db: privileged true,Privileged containers disable important isolation controls.,Avoid privileged containers unless strictly required.,rule,docker_rules
data\configs\docker\docker_baseline_01.yml,docker_baseline_01.yml,docker,DOCKER_HOST_NETWORK_MODE,Host network mode,high,db: network_mode host,Host networking bypasses container network isolation.,Use isolated Docker networks instead of host networking.,rule,docker_rules
data\configs\docker\docker_baseline_01.yml,docker_baseline_01.yml,docker,DOCKER_CONTAINER_NOT_READ_ONLY,Container filesystem is not read-only,info,db: read_only not set,Writable filesystems increase the impact of container compromise.,Consider read_only: true where possible.,rule,docker_rules
data\configs\docker\docker_baseline_01.yml,docker_baseline_01.yml,docker,DOCKER_PUBLIC_DATABASE_PORT,Public database port exposure,high,db: 3306:3306,Publishing database ports increases exposure to attacks.,Do not publish database ports publicly; use internal networks.,rule,docker_rules
data\configs\docker\docker_baseline_02.yml,docker_baseline_02.yml,docker,DOCKER_CONTAINER_NOT_READ_ONLY,Container filesystem is not read-only,info,admin: read_only not set,Writable filesystems increase the impact of container compromise.,Consider read_only: true where possible.,rule,docker_rules
data\configs\docker\docker_baseline_02.yml,docker_baseline_02.yml,docker,DOCKER_EXPOSED_ADMIN_PORT,Exposed admin port,high,admin: 2375:2375,Admin interfaces should not be publicly exposed.,Bind admin interfaces to localhost or private networks.,rule,docker_rules
data\configs\docker\docker_baseline_02.yml,docker_baseline_02.yml,docker,DOCKER_EXPOSED_ADMIN_PORT,Exposed admin port,medium,admin: 8080:8080,Admin interfaces should not be publicly exposed.,Bind admin interfaces to localhost or private networks.,rule,docker_rules
data\configs\docker\docker_baseline_02.yml,docker_baseline_02.yml,docker,DOCKER_CONTAINER_NOT_READ_ONLY,Container filesystem is not read-only,info,cache: read_only not set,Writable filesystems increase the impact of container compromise.,Consider read_only: true where possible.,rule,docker_rules
data\configs\docker\docker_baseline_02.yml,docker_baseline_02.yml,docker,DOCKER_PUBLIC_DATABASE_PORT,Public database port exposure,high,cache: 6379:6379,Publishing database ports increases exposure to attacks.,Do not publish database ports publicly; use internal networks.,rule,docker_rules
data\configs\docker\docker_baseline_03.yml,docker_baseline_03.yml,docker,DOCKER_CONTAINER_NOT_READ_ONLY,Container filesystem is not read-only,info,search: read_only not set,Writable filesystems increase the impact of container compromise.,Consider read_only: true where possible.,rule,docker_rules
data\configs\docker\docker_baseline_03.yml,docker_baseline_03.yml,docker,DOCKER_PUBLIC_DATABASE_PORT,Public database port exposure,high,search: 9200:9200,Publishing database ports increases exposure to attacks.,Do not publish database ports publicly; use internal networks.,rule,docker_rules
data\configs\docker\docker_baseline_03.yml,docker_baseline_03.yml,docker,DOCKER_EXPOSED_ADMIN_PORT,Exposed admin port,high,search: 9200:9200,Admin interfaces should not be publicly exposed.,Bind admin interfaces to localhost or private networks.,rule,docker_rules
data\configs\docker\docker_baseline_03.yml,docker_baseline_03.yml,docker,DOCKER_PRIVILEGED_CONTAINER,Privileged container,high,admin: privileged true,Privileged containers disable important isolation controls.,Avoid privileged containers unless strictly required.,rule,docker_rules
data\configs\docker\docker_baseline_03.yml,docker_baseline_03.yml,docker,DOCKER_CONTAINER_NOT_READ_ONLY,Container filesystem is not read-only,info,admin: read_only not set,Writable filesystems increase the impact of container compromise.,Consider read_only: true where possible.,rule,docker_rules
data\configs\docker\docker_baseline_03.yml,docker_baseline_03.yml,docker,DOCKER_EXPOSED_ADMIN_PORT,Exposed admin port,medium,admin: 8080:80,Admin interfaces should not be publicly exposed.,Bind admin interfaces to localhost or private networks.,rule,docker_rules
data\configs\docker\docker_secure_01.yml,docker_secure_01.yml,docker,DOCKER_EXPOSED_ADMIN_PORT,Exposed admin port,medium,app: 127.0.0.1:8080:80,Admin interfaces should not be publicly exposed.,Bind admin interfaces to localhost or private networks.,rule,docker_rules
data\configs\docker\docker_secure_02.yml,docker_secure_02.yml,docker,DOCKER_EXPOSED_ADMIN_PORT,Exposed admin port,medium,api: 127.0.0.1:9090:9090,Admin interfaces should not be publicly exposed.,Bind admin interfaces to localhost or private networks.,rule,docker_rules
data\configs\firewall\firewall_baseline_01.rules,firewall_baseline_01.rules,firewall,FW_PUBLIC_SSH_EXPOSURE,Public SSH exposure,high,allow tcp 0.0.0.0/0 22,Exposes SSH to untrusted networks.,Restrict SSH to trusted admin IP ranges.,rule,firewall_rules
data\configs\firewall\firewall_baseline_01.rules,firewall_baseline_01.rules,firewall,FW_ALLOW_ALL_INBOUND,Allow all inbound,critical,allow tcp 0.0.0.0/0 22,Allows unrestricted inbound traffic.,Replace broad allow rules with least-privilege rules.,rule,firewall_rules
data\configs\firewall\firewall_baseline_01.rules,firewall_baseline_01.rules,firewall,FW_ALLOW_ALL_INBOUND,Allow all inbound,critical,allow all,Allows unrestricted inbound traffic.,Replace broad allow rules with least-privilege rules.,rule,firewall_rules
data\configs\firewall\firewall_baseline_01.rules,firewall_baseline_01.rules,firewall,FW_ALLOW_ALL_INBOUND,Allow all inbound,critical,any any,Allows unrestricted inbound traffic.,Replace broad allow rules with least-privilege rules.,rule,firewall_rules
data\configs\firewall\firewall_baseline_02.rules,firewall_baseline_02.rules,firewall,FW_PUBLIC_DATABASE_EXPOSURE,Public database/admin port exposure,high,allow tcp 0.0.0.0/0 5432,Exposes database/admin services to the public internet.,Do not expose database/admin ports publicly; restrict to private networks.,rule,firewall_rules
data\configs\firewall\firewall_baseline_02.rules,firewall_baseline_02.rules,firewall,FW_ALLOW_ALL_INBOUND,Allow all inbound,critical,allow tcp 0.0.0.0/0 5432,Allows unrestricted inbound traffic.,Replace broad allow rules with least-privilege rules.,rule,firewall_rules
data\configs\firewall\firewall_baseline_02.rules,firewall_baseline_02.rules,firewall,FW_PUBLIC_DATABASE_EXPOSURE,Public database/admin port exposure,high,allow tcp 0.0.0.0/0 9200,Exposes database/admin services to the public internet.,Do not expose database/admin ports publicly; restrict to private networks.,rule,firewall_rules
data\configs\firewall\firewall_baseline_02.rules,firewall_baseline_02.rules,firewall,FW_ALLOW_ALL_INBOUND,Allow all inbound,critical,allow tcp 0.0.0.0/0 9200,Allows unrestricted inbound traffic.,Replace broad allow rules with least-privilege rules.,rule,firewall_rules
data\configs\firewall\firewall_baseline_03.rules,firewall_baseline_03.rules,firewall,FW_PUBLIC_SSH_EXPOSURE,Public SSH exposure,high,allow tcp 0.0.0.0/0 22,Exposes SSH to untrusted networks.,Restrict SSH to trusted admin IP ranges.,rule,firewall_rules
data\configs\firewall\firewall_baseline_03.rules,firewall_baseline_03.rules,firewall,FW_ALLOW_ALL_INBOUND,Allow all inbound,critical,allow tcp 0.0.0.0/0 22,Allows unrestricted inbound traffic.,Replace broad allow rules with least-privilege rules.,rule,firewall_rules
data\configs\firewall\firewall_baseline_03.rules,firewall_baseline_03.rules,firewall,FW_PUBLIC_DATABASE_EXPOSURE,Public database/admin port exposure,high,allow tcp 0.0.0.0/0 3306,Exposes database/admin services to the public internet.,Do not expose database/admin ports publicly; restrict to private networks.,rule,firewall_rules
data\configs\firewall\firewall_baseline_03.rules,firewall_baseline_03.rules,firewall,FW_ALLOW_ALL_INBOUND,Allow all inbound,critical,allow tcp 0.0.0.0/0 3306,Allows unrestricted inbound traffic.,Replace broad allow rules with least-privilege rules.,rule,firewall_rules
data\configs\firewall\firewall_baseline_03.rules,firewall_baseline_03.rules,firewall,FW_ALLOW_ALL_INBOUND,Allow all inbound,critical,allow all,Allows unrestricted inbound traffic.,Replace broad allow rules with least-privilege rules.,rule,firewall_rules
data\configs\firewall\firewall_secure_01.rules,firewall_secure_01.rules,firewall,FW_ALLOW_ALL_INBOUND,Allow all inbound,critical,allow tcp 0.0.0.0/0 443,Allows unrestricted inbound traffic.,Replace broad allow rules with least-privilege rules.,rule,firewall_rules
data\configs\kubernetes\k8s_baseline_01.yml,k8s_baseline_01.yml,kubernetes,K8S_HOST_NETWORK_ENABLED,hostNetwork enabled,high,hostNetwork: true,Host networking bypasses pod network isolation.,Avoid hostNetwork unless strictly required.,rule,k8s_rules
data\configs\kubernetes\k8s_baseline_01.yml,k8s_baseline_01.yml,kubernetes,K8S_PRIVILEGED_CONTAINER,Privileged container,high,securityContext.privileged: true,Privileged containers can access host-level resources.,Set privileged: false and use least-privilege securityContext.,rule,k8s_rules
data\configs\kubernetes\k8s_baseline_01.yml,k8s_baseline_01.yml,kubernetes,K8S_PRIVILEGE_ESCALATION_ALLOWED,Privilege escalation allowed,medium,allowPrivilegeEscalation: true,Allows processes to gain additional privileges.,Set allowPrivilegeEscalation: false.,rule,k8s_rules
data\configs\kubernetes\k8s_baseline_02.yml,k8s_baseline_02.yml,kubernetes,K8S_ALLOW_ALL_INGRESS,Allow all ingress,high,ingress: - {},Allows traffic from any source.,"Restrict ingress with podSelector, namespaceSelector, or ipBlock.",rule,k8s_rules
data\configs\kubernetes\k8s_baseline_02.yml,k8s_baseline_02.yml,kubernetes,K8S_PUBLIC_INGRESS_CIDR,Public ingress CIDR,high,ipBlock.cidr: 0.0.0.0/0,Allows ingress from all IP addresses.,Restrict ingress CIDR ranges.,rule,k8s_rules
data\configs\kubernetes\k8s_baseline_03.yml,k8s_baseline_03.yml,kubernetes,K8S_HOST_NETWORK_ENABLED,hostNetwork enabled,high,hostNetwork: true,Host networking bypasses pod network isolation.,Avoid hostNetwork unless strictly required.,rule,k8s_rules
data\configs\kubernetes\k8s_baseline_03.yml,k8s_baseline_03.yml,kubernetes,K8S_PRIVILEGE_ESCALATION_ALLOWED,Privilege escalation allowed,medium,allowPrivilegeEscalation: true,Allows processes to gain additional privileges.,Set allowPrivilegeEscalation: false.,rule,k8s_rules
data\configs\nginx\nginx_baseline_01.conf,nginx_baseline_01.conf,nginx,NGINX_MISSING_X_FRAME_OPTIONS,Missing X-Frame-Options header,low,add_header X-Frame-Options not found,Missing clickjacking protection headers.,"Add add_header X-Frame-Options ""DENY"" always; or SAMEORIGIN if appropriate.",rule,nginx_rules
data\configs\nginx\nginx_baseline_01.conf,nginx_baseline_01.conf,nginx,NGINX_MISSING_CSP,Missing Content-Security-Policy header,medium,add_header Content-Security-Policy not found,Missing CSP can allow script injection attacks.,Add a Content-Security-Policy header suitable for the application.,rule,nginx_rules
data\configs\nginx\nginx_baseline_01.conf,nginx_baseline_01.conf,nginx,NGINX_NO_HTTP_TO_HTTPS_REDIRECT,No HTTP to HTTPS redirect,medium,listen 80 without redirect,HTTP traffic can be intercepted without encryption.,Redirect HTTP traffic to HTTPS.,rule,nginx_rules
data\configs\nginx\nginx_baseline_01.conf,nginx_baseline_01.conf,nginx,NGINX_SERVER_TOKENS_ENABLED,Server tokens enabled,low,server_tokens on;,Reveals server version information.,Set server_tokens off.,rule,nginx_rules
data\configs\nginx\nginx_baseline_02.conf,nginx_baseline_02.conf,nginx,NGINX_MISSING_X_FRAME_OPTIONS,Missing X-Frame-Options header,low,add_header X-Frame-Options not found,Missing clickjacking protection headers.,"Add add_header X-Frame-Options ""DENY"" always; or SAMEORIGIN if appropriate.",rule,nginx_rules
data\configs\nginx\nginx_baseline_02.conf,nginx_baseline_02.conf,nginx,NGINX_MISSING_CSP,Missing Content-Security-Policy header,medium,add_header Content-Security-Policy not found,Missing CSP can allow script injection attacks.,Add a Content-Security-Policy header suitable for the application.,rule,nginx_rules
data\configs\nginx\nginx_baseline_02.conf,nginx_baseline_02.conf,nginx,NGINX_MISSING_HSTS,Missing Strict-Transport-Security,medium,Strict-Transport-Security not found,"Without HSTS, clients may downgrade to HTTP.",Add Strict-Transport-Security with an appropriate max-age.,rule,nginx_rules
data\configs\nginx\nginx_baseline_03.conf,nginx_baseline_03.conf,nginx,NGINX_MISSING_X_FRAME_OPTIONS,Missing X-Frame-Options header,low,add_header X-Frame-Options not found,Missing clickjacking protection headers.,"Add add_header X-Frame-Options ""DENY"" always; or SAMEORIGIN if appropriate.",rule,nginx_rules
data\configs\nginx\nginx_baseline_03.conf,nginx_baseline_03.conf,nginx,NGINX_MISSING_CSP,Missing Content-Security-Policy header,medium,add_header Content-Security-Policy not found,Missing CSP can allow script injection attacks.,Add a Content-Security-Policy header suitable for the application.,rule,nginx_rules
data\configs\nginx\nginx_baseline_03.conf,nginx_baseline_03.conf,nginx,NGINX_NO_HTTP_TO_HTTPS_REDIRECT,No HTTP to HTTPS redirect,medium,listen 80 without redirect,HTTP traffic can be intercepted without encryption.,Redirect HTTP traffic to HTTPS.,rule,nginx_rules
data\configs\nginx\nginx_baseline_03.conf,nginx_baseline_03.conf,nginx,NGINX_SERVER_TOKENS_ENABLED,Server tokens enabled,low,server_tokens on;,Reveals server version information.,Set server_tokens off.,rule,nginx_rules
data\configs\ssh\ssh_baseline_01.conf,ssh_baseline_01.conf,ssh,SSH_ROOT_LOGIN_ENABLED,PermitRootLogin enabled,high,PermitRootLogin yes,Allows direct privileged login over the network.,Set PermitRootLogin no.,rule,ssh_rules
data\configs\ssh\ssh_baseline_01.conf,ssh_baseline_01.conf,ssh,SSH_PASSWORD_AUTH_ENABLED,PasswordAuthentication enabled,high,PasswordAuthentication yes,Increases exposure to password guessing and credential attacks.,Set PasswordAuthentication no and use key-based authentication.,rule,ssh_rules
data\configs\ssh\ssh_baseline_01.conf,ssh_baseline_01.conf,ssh,SSH_EMPTY_PASSWORDS_ENABLED,PermitEmptyPasswords enabled,critical,PermitEmptyPasswords yes,Allows accounts with empty passwords to authenticate.,Set PermitEmptyPasswords no.,rule,ssh_rules
data\configs\ssh\ssh_baseline_01.conf,ssh_baseline_01.conf,ssh,SSH_X11_FORWARDING_ENABLED,X11Forwarding enabled,low,X11Forwarding yes,Expands remote session capabilities and may be unnecessary for servers.,Set X11Forwarding no unless explicitly required.,rule,ssh_rules
data\configs\ssh\ssh_baseline_01.conf,ssh_baseline_01.conf,ssh,SSH_PUBKEY_AUTH_DISABLED,PubkeyAuthentication disabled,medium,PubkeyAuthentication no,Disables stronger key-based authentication.,Set PubkeyAuthentication yes.,rule,ssh_rules
data\configs\ssh\ssh_baseline_02.conf,ssh_baseline_02.conf,ssh,SSH_ROOT_LOGIN_ENABLED,PermitRootLogin enabled,high,PermitRootLogin yes,Allows direct privileged login over the network.,Set PermitRootLogin no.,rule,ssh_rules
data\configs\ssh\ssh_baseline_02.conf,ssh_baseline_02.conf,ssh,SSH_X11_FORWARDING_ENABLED,X11Forwarding enabled,low,X11Forwarding yes,Expands remote session capabilities and may be unnecessary for servers.,Set X11Forwarding no unless explicitly required.,rule,ssh_rules
data\configs\ssh\ssh_baseline_03.conf,ssh_baseline_03.conf,ssh,SSH_ROOT_LOGIN_ENABLED,PermitRootLogin enabled,high,PermitRootLogin yes,Allows direct privileged login over the network.,Set PermitRootLogin no.,rule,ssh_rules
data\configs\ssh\ssh_baseline_03.conf,ssh_baseline_03.conf,ssh,SSH_PASSWORD_AUTH_ENABLED,PasswordAuthentication enabled,high,PasswordAuthentication yes,Increases exposure to password guessing and credential attacks.,Set PasswordAuthentication no and use key-based authentication.,rule,ssh_rules
data\configs\ssh\ssh_baseline_03.conf,ssh_baseline_03.conf,ssh,SSH_X11_FORWARDING_ENABLED,X11Forwarding enabled,low,X11Forwarding yes,Expands remote session capabilities and may be unnecessary for servers.,Set X11Forwarding no unless explicitly required.,rule,ssh_rules
data\configs\ssh\ssh_baseline_03.conf,ssh_baseline_03.conf,ssh,SSH_PUBKEY_AUTH_DISABLED,PubkeyAuthentication disabled,medium,PubkeyAuthentication no,Disables stronger key-based authentication.,Set PubkeyAuthentication yes.,rule,ssh_rules
